keyword,const_keyword,relation_keyword,runtime_only,not_included
one per,1,0,0,0
counted,1,0,0,4
commlinkto,0,4,0,0
change,18,0,6,43
provide,2,39,0,48
ishostedby,0,4,0,4
additional,8,0,1,241
expectedsubmodule,0,0,1,0
also,4,0,0,103
included,1,6,0,13
entry object,1,0,0,0
isconnectedto,0,2,0,3
the same,3,0,0,85
omac packml,0,0,1,0
as both,1,0,0,1
a number of,1,0,0,7
frequently,1,0,0,2
condition variables,0,0,12,17
ipv4 address,0,0,2,0
property,2,0,2,238
range,1,0,0,7
deleted,2,0,0,9
base,3,0,1,27
compatibility,2,0,1,18
instantiated,4,1,0,29
shall become,2,0,0,0
overrides,0,2,0,0
wsdata-points,0,0,0,0
true,20,0,35,10
referenced with,0,1,0,0
restricted to,2,0,0,5
hasdictionaryentry,0,7,0,1
by one,6,0,0,7
im_tagfunction,0,0,1,0
representing,0,10,0,58
realmodule,0,0,1,0
relation,3,0,0,4
as soon as,1,0,0,8
internally,0,0,1,4
rules,1,0,0,12
freely,1,0,0,2
same for,1,0,0,1
has,10,3,0,174
numbers,11,0,0,2
otherwise,2,0,0,19
identical,29,0,0,6
shall be,121,0,0,208
not executable,1,0,0,0
until,3,0,0,7
providing,0,1,0,10
haspnrealsubmodule,0,1,0,0
am_location,0,0,2,0
extended,1,0,0,8
complete,2,0,0,23
just,1,0,0,13
percent,1,0,0,1
for each,24,0,0,17
restriction,2,0,0,1
functional entity verification,0,0,0,0
transits,0,0,1,0
enumeration,1,0,0,45
shall refer itself,1,0,0,0
append,8,0,0,0
implementing,22,0,0,19
unless,3,0,0,3
relate,0,1,0,1
units,1,0,0,19
identifiers,3,0,0,22
no,37,0,4,60
must provide,1,0,0,0
maintained,1,0,0,2
regardless,1,0,0,3
address,5,0,3,57
following,3,0,0,84
restrictions,6,0,0,4
haspnexpectedsubmodule,0,1,0,0
or greater,1,0,0,1
uniqueness,1,0,0,0
clients,0,0,4,36
identically,3,0,0,1
stop causes,1,0,0,0
internal,0,0,4,61
in seconds,5,0,0,1
empty string,3,0,0,0
read only,3,0,0,0
subordinate,1,0,0,0
reference,2,22,1,159
exception,1,0,0,2
empty,11,0,1,7
increase,3,0,0,0
unambiguously identified,3,0,0,4
download state,1,0,0,0
parallel,0,0,1,3
connection,0,0,14,13
composed,1,0,0,0
restricked,0,0,0,0
removed,1,0,3,14
individually,0,0,1,4
bits,1,0,0,1
globally,1,0,0,2
indirectly,1,0,0,2
individual,5,0,0,24
